,group,id,max_depth,n_estimators,Accuracy,Cross,test_train
1850,1,41,50,10,0.9736328125,"(0.9549560976362207, 0.8639759214364904, 0.9554457797197907, 0.9549560976362207)",0.3-0.7
1851,1,41,50,20,0.9818359375,"(0.9673470954605594, 0.8981495780274436, 0.96754579705619, 0.9673470954605594)",0.3-0.7
1852,1,41,50,30,0.98359375,"(0.9711982894800499, 0.8798102732872133, 0.9712462921053447, 0.9711982894800499)",0.3-0.7
1853,1,41,50,40,0.9830078125,"(0.9750498691307803, 0.9052868783760898, 0.9750813745204401, 0.9750498691307803)",0.3-0.7
1854,1,41,50,50,0.982421875,"(0.9761380503746583, 0.9277429504217384, 0.9762699029081752, 0.9761380503746583)",0.3-0.7
1855,1,41,50,60,0.9830078125,"(0.9761381204894292, 0.9275606943658461, 0.9762283332387808, 0.9761381204894292)",0.3-0.7
1856,1,41,50,70,0.983203125,"(0.9772266172497762, 0.9062069577243241, 0.9772418518117313, 0.9772266172497762)",0.3-0.7
1857,1,41,50,80,0.9818359375,"(0.9776452725466317, 0.9071059239755954, 0.9776466673150972, 0.9776452725466317)",0.3-0.7
1858,1,41,50,90,0.9818359375,"(0.9784825130255715, 0.9072697612599683, 0.9784851065273388, 0.9784825130255715)",0.3-0.7
1859,1,41,50,100,0.981640625,"(0.9785661248898322, 0.9073820644271471, 0.9785510860287655, 0.9785661248898322)",0.3-0.7
1860,1,41,100,10,0.9736328125,"(0.9549560976362207, 0.8639759214364904, 0.9554457797197907, 0.9549560976362207)",0.3-0.7
1861,1,41,100,20,0.9818359375,"(0.9673470954605594, 0.8981495780274436, 0.96754579705619, 0.9673470954605594)",0.3-0.7
1862,1,41,100,30,0.98359375,"(0.9711982894800499, 0.8798102732872133, 0.9712462921053447, 0.9711982894800499)",0.3-0.7
1863,1,41,100,40,0.9830078125,"(0.9750498691307803, 0.9052868783760898, 0.9750813745204401, 0.9750498691307803)",0.3-0.7
1864,1,41,100,50,0.982421875,"(0.9761380503746583, 0.9277429504217384, 0.9762699029081752, 0.9761380503746583)",0.3-0.7
1865,1,41,100,60,0.9830078125,"(0.9761381204894292, 0.9275606943658461, 0.9762283332387808, 0.9761381204894292)",0.3-0.7
1866,1,41,100,70,0.983203125,"(0.9772266172497762, 0.9062069577243241, 0.9772418518117313, 0.9772266172497762)",0.3-0.7
1867,1,41,100,80,0.9818359375,"(0.9776452725466317, 0.9071059239755954, 0.9776466673150972, 0.9776452725466317)",0.3-0.7
1868,1,41,100,90,0.9818359375,"(0.9784825130255715, 0.9072697612599683, 0.9784851065273388, 0.9784825130255715)",0.3-0.7
1869,1,41,100,100,0.981640625,"(0.9785661248898322, 0.9073820644271471, 0.9785510860287655, 0.9785661248898322)",0.3-0.7
1870,1,41,10,10,0.87109375,"(0.8471196150979539, 0.7653263842785704, 0.8639150303124014, 0.8471196150979539)",0.3-0.7
1871,1,41,10,20,0.87890625,"(0.857166360615692, 0.7773712973819226, 0.8729429702096188, 0.857166360615692)",0.3-0.7
1872,1,41,10,30,0.8826171875,"(0.8683857055614336, 0.8182369565092504, 0.8828344043378784, 0.8683857055614336)",0.3-0.7
1873,1,41,10,40,0.8890625,"(0.8689717248163518, 0.8181552733966692, 0.883432617352295, 0.8689717248163518)",0.3-0.7
1874,1,41,10,50,0.8875,"(0.8734925850124068, 0.8210616321950471, 0.8877325991214523, 0.8734925850124068)",0.3-0.7
1875,1,41,10,60,0.8884765625,"(0.8740787094394815, 0.8454458354304897, 0.888373994324532, 0.8740787094394815)",0.3-0.7
1876,1,41,10,70,0.884375,"(0.874915914861036, 0.8236993667889931, 0.8897921363451952, 0.874915914861036)",0.3-0.7
1877,1,41,10,80,0.88515625,"(0.8765066787824992, 0.8477808923826737, 0.8910718904177092, 0.8765066787824992)",0.3-0.7
